ID_KLASY,ID_TOWARU,ID_KLASY_NADRZ,TYP,NAZWA_KLASY,ID_KLASYFIKACJI,CZY_OBOWIAZKOWA,ID_KLASY_CENTR,CZY_IMP_Z_CENTR,CZY_KLASYFIKACJA_ZEWNETRZNA,CZY_DEFINICJA_CECH_DODATK,TS,CZY_AKTYWNY
14546,,13397,N,90.05.02.01 Pozostałe urządzenia,10442,N,82379225-B525-46A9-9546-BF482F18AB3F,false,true,false,0x00000000000718FE,true
14547,,13398,N,90.06.01.01 Wózki ręczne,10442,N,0401188E-3331-4215-8189-99B81AFC64E6,false,true,false,0x00000000000718FF,true
14548,,13377,N,90.01.05.01 Oznaczenie cenowe,10442,N,B103CB3D-C98E-440C-98BA-07E48DB9CE39,false,true,false,0x0000000000071901,true
14549,,13409,N,90.02.01.01 Boksy,10442,N,DA2D84A8-7882-4645-83AA-60839E59B2FF,false,true,false,0x0000000000071902,true
14550,,13389,N,90.07.01.01 Drabiny,10442,N,CC54774E-4E06-4B46-9B32-EEC5067AE3C3,false,true,false,0x0000000000071903,true
14551,,13390,N,90.07.03.01 Pozostałe BHP,10442,N,9EB301BE-218D-4AFF-9B10-CE7CFF1E1CEB,false,true,false,0x0000000000071904,true
14552,,13407,N,90.08.01.01 Elementy wizualizacji,10442,N,2AF807F6-1674-44BA-A00B-1C1CCC2B84B2,false,true,false,0x0000000000071905,true
14553,,13408,N,90.09.01.01 Wyposażenie ogrodu,10442,N,6391BC19-421D-4614-A1C6-0D6E8DC42B83,false,true,false,0x0000000000071906,true
14554,,13405,N,90.03.03.01 Koszyki,10442,N,C961F19D-7E19-4544-9C7C-22736E9F234F,false,true,false,0x0000000000071907,true
14555,,13406,N,90.03.04.01 Stojaki,10442,N,5824AD68-5820-43FA-8D19-E14FD7187BD0,false,true,false,0x0000000000071908,true
14556,,13056,N,17.23.01.01 Wiatrówki i akcesoria,10442,N,9F871F0E-941E-4414-8AB8-504A5BD15B56,false,true,false,0x0000000000071909,true
14557,,13056,N,17.23.01.02 Broń czarnoprochowa i akcesoria,10442,N,3F0720E2-AC40-4D8A-A392-3F8DFAF9A30F,false,true,false,0x000000000007190A,true
14558,,13056,N,17.23.01.03 Real Action Marker i akcesoria,10442,N,1D35BB2B-4035-4C89-8ACE-1F5034469432,false,true,false,0x000000000007190B,true
14559,,13056,N,17.23.01.04 Paintball i akcesoria,10442,N,7F64E22A-50F1-4D20-99CD-4CA092E9A998,false,true,false,0x000000000007190C,true
14560,,13399,N,90.06.02.01 Wózki elektryczne,10442,N,D98D8D11-EF8E-4C62-9AE8-BCAB1C5B7AD4,false,true,false,0x000000000007190D,true
14561,,13400,N,90.06.03.01 Wózki spalinowe,10442,N,9D7A4A0C-35A4-4409-BC15-7652018812B6,false,true,false,0x000000000007190E,true
14562,,13057,N,17.23.02.01 Paralizatory,10442,N,9FE21246-3B3F-41EE-BA42-8A44B2D1F0A7,false,true,false,0x000000000007190F,true
14563,,13057,N,"17.23.02.02 Pałki, kajdanki",10442,N,AB53F622-02A6-44E1-A039-8FBA7D959BC9,false,true,false,0x0000000000071910,true
14564,,13057,N,17.23.02.03 Gazy pieprzowe,10442,N,4C86614C-5ACF-4F10-81B1-60B744F26130,false,true,false,0x0000000000071911,true
14565,,13058,N,17.23.03.01 Odzież,10442,N,E74A8156-0DFC-436E-AD2C-63DE4AF71E6C,false,true,false,0x0000000000071912,true
14566,,13058,N,17.23.03.02 Obuwie,10442,N,F765AD5C-6F4B-49AE-B36F-FFDF41D38D5A,false,true,false,0x0000000000071913,true
14567,,13058,N,"17.23.03.03 Noże, miecze i maczety",10442,N,06AA07F8-BAA4-4166-A1D6-4E4FB93433FE,false,true,false,0x0000000000071914,true
14568,,13056,N,"17.23.01.05 Łuki, proce i dmuchawki",10442,N,454424C4-662A-454F-BA5C-B489A5233A50,false,true,false,0x0000000000071915,true
