ID_TOWARU,ID_MAGAZYNU,ILOSC,ILOSC_ZAREZERWOWANA
000004,M1S,211.0000,0.0000
000005,M1S,3.0000,0.0000
000006,M1P,106.0000,0.0000
000006,MDEP,4960.0000,0.0000
000006,MTRA,0.0000,0.0000
000007,M1P,216.0000,0.0000
000007,MDEP,332.0000,0.0000
000007,MTRA,0.0000,0.0000
000008,M1S,7.0000,0.0000
000009,M1P,0.0000,0.0000
000009,M1S,0.0000,0.0000
000009,MDEP,20.0000,0.0000
000010,M1S,21.0000,0.0000
000011,M1P,902.6439,0.0000
000011,M2,43.7700,0.0000
000012,M1P,0.0000,0.0000
000013,M1P,458.0000,0.0000
000013,MDEP,1774.0000,0.0000
000014,M1P,1052.0000,0.0000
000014,MDEP,25.0000,0.0000
000015,M1P,18.0000,0.0000
000016,M1P,154.0000,0.0000
000016,MDEP,0.0000,0.0000
000017,M1P,2226.0000,0.0000
000017,MDEP,162.0000,0.0000
000018,M1P,379.0000,0.0000
000018,MDEP,0.0000,0.0000
000019,M1P,12597.0000,0.0000
000020,M1P,0.0000,0.0000
000021,M1P,253.0000,0.0000
000022,M1P,15.0000,0.0000
000023,M1P,83.0000,0.0000
000023,MDEP,33.0000,0.0000
000023,MTRA,0.0000,0.0000
000024,M1P,616.0000,0.0000
000024,MDEP,15.0000,0.0000
000024,MTRA,0.0000,0.0000
000025,M1P,263.0000,0.0000
000026,M1P,143.0000,0.0000
000027,M1P,162.0000,0.0000
000028,M1P,52.0000,0.0000
000029,M1P,180.0000,0.0000
000029,MDEP,8.0000,0.0000
000030,M1P,560.0000,0.0000
000030,MDEP,30.0000,0.0000
000031,M1P,422.0000,0.0000
000031,MDEP,25.0000,0.0000
000032,M1P,672.0000,0.0000
000032,MDEP,60.0000,0.0000
000033,M1P,285.0000,0.0000
000034,M1S,2720.0000,0.0000
000035,M1S,3359.0000,0.0000
000036,M1P,0.0000,0.0000
000036,M1S,3860.0000,0.0000
000037,M1P,0.0000,0.0000
000037,M1S,2298.0000,0.0000
000038,M1P,0.0000,0.0000
000038,M1S,2878.0000,0.0000
000039,M1S,1220.0000,0.0000
000040,M1S,1126.0000,0.0000
000041,M1S,704.0000,0.0000
000042,M1S,1.0000,0.0000
000043,M1S,11.0000,0.0000
000044,M1S,11.0000,0.0000
000045,M1S,7.0000,0.0000
000046,M1S,0.0000,0.0000
000047,M1S,29.0000,0.0000
000048,M1S,2.0000,0.0000
000049,M1P,0.0000,0.0000
000049,M1S,17.0000,0.0000
000050,M1S,14.0000,0.0000
000051,M1S,0.0000,0.0000
000052,M1S,8.0000,0.0000
000053,M1S,8.0000,0.0000
000054,M1S,2.0000,0.0000
000055,M1S,5.0000,0.0000
000056,M1S,0.0000,0.0000
000057,M1S,1.0000,0.0000
000058,M1S,0.0000,0.0000
000059,M1S,0.0000,0.0000
000060,M1S,2.0000,0.0000
000061,M1S,0.0000,0.0000
000062,M1S,10.0000,0.0000
000063,M1S,5.0000,0.0000
000064,M1S,25.0000,0.0000
000065,M1S,9.0000,0.0000
000066,M1S,4.0000,0.0000
000067,M1S,3.0000,0.0000
000068,M1S,5.0000,0.0000
000069,M1S,298.0000,0.0000
000069,MDEP,0.0000,0.0000
000070,M1S,0.0000,0.0000
000071,M1S,12.0000,0.0000
000072,M1S,30.0000,0.0000
000073,M1S,28.0000,0.0000
000074,M1S,8.0000,0.0000
000075,M1S,8.0000,0.0000
000076,M1S,18.0000,0.0000
000077,M1S,11.0000,0.0000
000078,M1S,9.0000,0.0000
000079,M1S,36.0000,0.0000
000080,M1S,30.0000,0.0000
000081,M1S,29.0000,0.0000
000082,M1S,23.0000,0.0000
000083,M1S,11.0000,0.0000
000084,M1S,14.0000,0.0000
000085,M1S,9.0000,0.0000
000086,M1S,9.0000,0.0000
000087,M1S,13.0000,0.0000
000088,M1S,6.0000,0.0000
000089,M1S,26.0000,0.0000
000090,M1S,8.0000,0.0000
000091,M1P,10.0000,0.0000
000091,M1S,0.0000,0.0000
000092,M1P,0.0000,0.0000
000093,M1P,0.0000,0.0000
000094,M1P,51.0000,0.0000
000095,M1P,1492.0000,0.0000
000096,M1P,0.0000,0.0000
000097,M1P,0.0000,0.0000
000097,MDEP,2136.0000,0.0000
000098,M1P,101.0000,0.0000
000099,M1P,108.0000,0.0000
000100,M1P,100.0000,0.0000
000101,M1S,42.0000,0.0000
000102,M1P,55.0000,0.0000
000103,M1P,75.0000,0.0000
000104,M1P,112.0000,0.0000
000105,M1P,54.0000,0.0000
000106,M1P,85.0000,0.0000
000107,M1P,72.0000,0.0000
000108,M1P,84.0000,0.0000
000109,M1P,126.0000,0.0000
000110,M1P,398.6400,0.0000
000110,MDEP,0.0000,0.0000
000110,MTRA,0.0000,0.0000
000111,M1P,0.0000,0.0000
000112,M1P,0.0000,0.0000
000113,M1P,68.0000,0.0000
000113,MDEP,33.0000,0.0000
000114,M1P,444.0000,0.0000
000114,MDEP,126.0000,0.0000
000114,MTRA,0.0000,0.0000
000115,M1P,15.0000,0.0000
000116,M1P,1.0000,0.0000
000117,M1P,3.0000,0.0000
000118,M1P,0.0000,0.0000
000119,M1P,62.8000,0.0000
000119,MDEP,216.0000,0.0000
000119,MTRA,0.0000,0.0000
000120,M1P,0.0000,0.0000
000121,M1S,1.0000,0.0000
000122,M1S,10.0000,0.0000
000123,M1S,0.0000,0.0000
000124,M1S,73.0000,0.0000
000125,M1S,5.0000,0.0000
000126,M1S,84.0000,0.0000
000127,M1S,35.0000,0.0000
000128,M1S,20.0000,0.0000
000129,M1S,12.0000,0.0000
000130,M1S,19.0000,0.0000
000131,M1S,54.0000,0.0000
000132,M1S,14.4000,0.0000
000133,M1S,3.0000,0.0000
000134,M1S,3.0000,0.0000
000135,M1S,10.0000,0.0000
000136,M1S,21.0000,0.0000
000137,M1S,37.0000,0.0000
000138,M1S,12.0000,0.0000
000139,M1S,53.0000,0.0000
000140,M1S,92.0000,0.0000
000141,M1S,248.0000,0.0000
000142,M1S,112.0000,0.0000
000143,M1S,71.0000,0.0000
000144,M1S,36.0000,0.0000
000145,M1S,0.8000,0.0000
000146,M1S,37.0000,0.0000
000147,M1S,11.0000,0.0000
000148,M1S,4.0000,0.0000
000149,M1S,11.0000,0.0000
000150,M1S,19.0000,0.0000
000151,M1S,20.0000,0.0000
000152,M1S,18.0000,0.0000
000153,M1S,47.0000,0.0000
000154,M1S,18.0000,0.0000
000155,M1S,37.0000,0.0000
000156,M1S,61.0000,0.0000
000157,M1S,10.0000,0.0000
000158,M1S,15.0000,0.0000
000159,M1S,26.0000,0.0000
000160,M1S,7.5400,0.0000
000161,M1P,2.0000,0.0000
000162,M1S,4.2450,0.0000
000164,M1S,4.0000,0.0000
000166,M1S,6.0000,0.0000
000167,M1S,6.0000,0.0000
000169,M1S,35.0000,0.0000
000170,M1S,4.0000,0.0000
000171,M1S,10.0000,0.0000
000172,M1S,3.0000,0.0000
000173,M1S,13.0000,0.0000
000174,M1S,22.0000,0.0000
000175,M1S,7.0000,0.0000
000176,M1S,0.0000,0.0000
000178,M1S,1.0000,0.0000
000179,M1S,19.0000,0.0000
000180,M1S,217.0000,0.0000
000181,M1S,0.0000,0.0000
000182,M1S,91.0000,0.0000
000183,M1S,14.0000,0.0000
000184,M1S,105.0000,0.0000
000185,M1S,173.0000,0.0000
000186,M1S,10.0000,0.0000
000187,M1S,216.0000,0.0000
000188,M1S,107.0000,0.0000
000189,M1S,1.6300,0.0000
000190,M1S,0.2300,0.0000
000191,M1S,53.0000,0.0000
000192,M1S,92.0000,0.0000
000193,M1S,101.0000,0.0000
000194,M1S,0.2100,0.0000
000195,M1S,59.0000,0.0000
000196,M1S,10.0000,0.0000
000197,M1S,207.0000,0.0000
000198,M1S,219.0000,0.0000
000199,M1S,304.0000,0.0000
000200,M1S,3.0000,0.0000
000201,M1S,37.0000,0.0000
000202,M1S,2.0000,0.0000
000203,M1S,73.0000,0.0000
000204,M1S,1.0000,0.0000
000205,M1S,33.0000,0.0000
000206,M1S,56.0000,0.0000
000207,M1P,238.0000,0.0000
000208,M1P,294.0000,0.0000
000209,M1P,503.0000,0.0000
000210,M1P,636.0000,0.0000
000211,M1P,22.0000,0.0000
000212,M1S,83.0000,0.0000
000213,M1P,1141.0000,0.0000
000213,MDEP,0.0000,0.0000
000214,M1S,273.0000,0.0000
000215,M1P,578.0000,0.0000
000216,M1S,0.0000,0.0000
000218,M1P,228.0000,0.0000
000218,MDEP,20.0000,0.0000
000218,MTRA,0.0000,0.0000
000219,M1S,10.0000,0.0000
000220,M1S,16.0000,0.0000
000221,M1P,81.0000,0.0000
000221,M1S,0.0000,0.0000
000222,M1P,15.0000,0.0000
000223,M1S,0.0000,0.0000
000224,M1S,14.0000,0.0000
000225,M1P,0.0000,0.0000
000225,M1S,6.0000,0.0000
000226,M1S,0.0000,0.0000
000227,M1P,412.0000,0.0000
000228,M1P,0.0000,0.0000
000228,MTRA,0.0000,0.0000
000229,M1P,26.0000,0.0000
000229,MTRA,0.0000,0.0000
000230,M1P,0.0000,0.0000
000230,M1S,1.0000,0.0000
000231,M1S,7.0000,0.0000
000232,M1S,4.0000,0.0000
000233,M1S,8.0000,0.0000
000234,M1P,0.0000,0.0000
000234,M1S,6.0000,0.0000
000235,M1S,4.0000,0.0000
000236,M1S,10.0000,0.0000
000236,MTRA,0.0000,0.0000
000237,M1P,0.0000,0.0000
000237,M1S,162.0000,0.0000
000237,MDEP,0.0000,0.0000
000237,MTRA,0.0000,0.0000
000238,M1P,0.0000,0.0000
000238,M1S,13.0000,0.0000
000239,M1S,19.0050,0.0000
000240,M1S,36.0000,0.0000
000241,M1S,1.0000,0.0000
000242,M1S,0.2700,0.0000
000243,M1S,273.0000,0.0000
000244,M1S,22.0000,0.0000
000245,M1S,18.0000,0.0000
000246,M1P,0.0000,0.0000
000247,M1S,115.0000,0.0000
000248,M1S,106.0000,0.0000
000249,M1S,101.0000,0.0000
000250,M1S,49.0000,0.0000
000251,M1S,33.0000,0.0000
000252,M1S,60.0000,0.0000
000253,M1S,108.0000,0.0000
000254,M1S,64.0000,0.0000
000255,M1S,148.0000,0.0000
000256,M1S,86.0000,0.0000
000257,M1S,116.0000,0.0000
000258,M1S,72.0000,0.0000
000259,M1S,54.0000,0.0000
000260,M1S,174.0000,0.0000
000261,M1S,0.0000,0.0000
000262,M1S,107.0000,0.0000
000264,M1S,24.0000,0.0000
000265,M1S,120.0000,0.0000
000266,M1S,73.0000,0.0000
000267,M1S,147.0000,0.0000
000268,M1S,210.0000,0.0000
000269,M1S,123.0000,0.0000
000270,M1S,110.0000,0.0000
000271,M1S,899.0000,0.0000
000272,M1S,47.0000,0.0000
000273,M1S,111.0000,0.0000
000274,M1S,1664.0000,0.0000
000275,M1S,9655.0000,0.0000
000276,M1S,1.0000,0.0000
000277,M1S,2752.0000,0.0000
000278,M1S,690.0000,0.0000
000279,M1S,1015.0000,0.0000
000280,M1S,349.0000,0.0000
000281,M1S,18.0000,0.0000
000282,M1S,11.0000,0.0000
000283,M1S,7.0000,0.0000
000284,M1S,2.0000,0.0000
000285,M1S,1.0000,0.0000
000286,M1S,1.0000,0.0000
000287,M1S,554.0000,0.0000
000288,M1S,630.0000,0.0000
